Code,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
719,Airbus Industrie A319-200n,,,,,,,,,,
720,Bombardier C Series Cs100,,,,,,,,,,
721,Airbus Industrie A321-200n,,,,,,,,,,
722,Airbus Industrie A320-200n,,,,,,,,,,
723,A200-100 BD-500-1A10,,,,,,,,,,
724,A220-300 BD-500-1A11,,,,,,,,,,
725,Dassault Falcon 8x,,,,,,,,,,
731,McDonnell Douglas DC-10-20,,,,,,,,,,
735,McDonnell Douglas DC-10-30CF,,,,,,0,0,,,
737,Boeing 737 Max 7,,,,,,,,,,
745,Embraer Legacy 500,,,,,,,,,,
746,Emb500 Phenom 100/300,,,,,,,,,,
748,Embraer EMB195,,,,,,,,,,
749,Gulfstream Aerospace G500,,,,,,,,,,
750,Gulfstream G650,,,,,,,,,,
751,Bombardier Global 7500 BD-7500,,,,,,,,,,
755,Embraer Legacy 600,,,,,,,,,,
770,Dassault Falcon 900/900EX,,,,,,,,,,
771,Dassault Falcon 50,,,,,,,,,,
774,Dassault Falcon 2000,,,,,,,,,,
775,Dassault Falcon 7X,,,,,,,,,,
780,Tupolev TU-154,,,,,,,,,,
788,Bombardier Global 6000/Global Xrs,,,,,,,,,,
792,Yakolev Yak-42,,,,,,,,,,
802,Boeing 707-100B,,,,,,,,,,
804,Boeing 707-200,,,,,,,,,,
806,Boeing 707-300,,,,,,,,,,
810,Boeing 707-400,,,,,,,,,,
812,Boeing 720-000,,,,,,,,,,
814,Boeing 720-000B,,,,,,,,,,
818,Boeing 747C,,,,,,,,,,
821,Boeing B747-8,,,,,,,,,,
823,Boeing 747-200F,,,,,,,,,,
824,Airbus A330-900neo,,,,,,,,,,
825,Convair 880 (CV-22/22m),,,,,,,,,,
830,Convair 990 Coronado (CV-30),,,,,,,,,,
833,Embraer Legacy 650,,,,,,,,,,
836,Airbus 350-1000,,,,,,,,,,
837,Boeing 787-10 Dreamliner,,,,,,,,,,
838,Boeing B737 Max 800,,,,,,,,,,
839,Boeing B737 Max 900,,,,,,,,,,
840,McDonnell Douglas DC-8-10,,,,,,,,,,
842,McDonnell Douglas DC-8-20,,,,,,,,,,
844,McDonnell Douglas DC-8-30,,,,,,,,,,
846,McDonnell Douglas DC-8-40,,,,,,,,,,
848,McDonnell Douglas DC-8-50,,,,,,,,,,
862,McDonnell Douglas DC-8-72,,,,,,,,,,
870,Lockheed Jetstar,,,,,,,,,,
871,Airbus Industrie A340-300,,,,,,,,,,
872,Airbus Industrie A340-500,,,,,,,,,,
873,Airbus Industrie A340-200,,,,,,,,,,
874,Airbus Industrie A340-600,,,,,,,,,,
875,Aerospatiale/British Aerospace Concorde,,,,,,,,,,
876,Ilyushin 62,,,,,,,,,,
877,Ilyushin 76/TD,,,,,,,,,,
878,Ilyushin 86,,,,,,,,,,
879,Ilyushin 96,,,,,,,,,,
880,Antonov 124,,,,,,,,,,
881,Ilyushiin Il-96-400t,,,,,,,,,,
882,Airbus Industrie A380-800,,,,,,,,,,
885,Boeing B737-Max10,,,,,,,,,,
887,B787-800 Dreamliner,,,,,,,,,,
888,Boeing 737-900ER,,,,,,,,,,
889,B787-900 Dreamliner,,,,,,,,,,
890,Antonov 225 (6 Engine),,,,,,,,,,
999,Used for capturing expenses not attributed to specific aircraft types,,,,,,,,,,
